customer_id,became_member_on,gender,age,income,member_Year,member_Month,member_Date
68be06ca386d4c31939f3a4f0e3dd783,20170212,,118,,2017,02,12
38fe809add3b4fcf9315a9694bb96ff5,20180712,,118,,2018,07,12
a03223e636434f42ac4c3df47e8bac43,20170804,,118,,2017,08,04
8ec6ce2a7e7949b1bf142def7d0e0586,20170925,,118,,2017,09,25
68617ca6246f4fbc85e91a2a49552598,20171002,,118,,2017,10,02
8974fc5686fe429db53ddde067b88302,20161122,,118,,2016,11,22
c4863c7985cf408faee930f111475da3,20170824,,118,,2017,08,24
148adfcaa27d485b82f323aaaad036bd,20150919,,118,,2015,09,19
744d603ef08c4f33af5a61c8c7628d1c,20170801,,118,,2017,08,01
2b826eba31074a059d63b0ae8f50b7d5,20170907,,118,,2017,09,07
65aba5c617294649aeb624da249e1ee5,20170330,,118,,2017,03,30
4beeb3ed64dd4898b0edf2f6b67426d3,20160707,,118,,2016,07,07
25c906289d154b66bf579693f89481c9,20180113,,118,,2018,01,13
5b8f1f0e0930464f93bb55e59b5a04e0,20141111,,118,,2014,11,11
8be4463721e14d7fa600686bf8c8b2ed,20170511,,118,,2017,05,11
81ac76e4f2fe4a6bb5ebdc0f19cecc56,20170528,,118,,2017,05,28
020d3a52b9ce432ea5f98fc58e9bfcc4,20171013,,118,,2017,10,13
4be1127413db496d8103c783ae72058b,20151220,,118,,2015,12,20
9d8d6bb2fc544a9c802888971ee3e8b1,20170918,,118,,2017,09,18
a89752cdfdf24779aa22faa2bc24e7c2,20150920,,118,,2015,09,20
53bac762af27471eb294ff89ca1bae2c,20160806,,118,,2016,08,06
488773cae11f4b71875bfccd4e3e99f2,20170223,,118,,2017,02,23
182e68952b474700b171e21b85c258ac,20170823,,118,,2017,08,23
5e9c83e8ab4d4e9ca83f3256d83ca756,20160130,,118,,2016,01,30
c099206f76b1414db7552f163520053c,20150730,,118,,2015,07,30
e6d3eebb535e44aca1323edde5c346fa,20171125,,118,,2017,11,25
baba98dba43e42ae8e86cbd70725e201,20160418,,118,,2016,04,18
58748c1cf9f746838c6ec62acdff28ad,20161018,,118,,2016,10,18
770df32893694100afc703ea9c9df401,20150905,,118,,2015,09,05
50b92ea51e2649dfbf7120d5e554e991,20180114,,118,,2018,01,14
41f9e7e0d8c644bb8b3f9c3a8699dc53,20170607,,118,,2017,06,07
1d25a96a0ba44f4eb28f587adf3ba9dd,20160506,,118,,2016,05,06
569866874d614a6a9c30d9f1e3a23b8d,20150206,,118,,2015,02,06
e94a9c2e750645d0a1aca57a9b4ca4c3,20180708,,118,,2018,07,08
82d8f33acf684ed6b16260d1dc1b30d5,20151115,,118,,2015,11,15
82d57bf7f37a4b37aff9e7bd293be8bc,20180327,,118,,2018,03,27
be76cd174fa445238be5e3bb58a211b8,20180501,,118,,2018,05,01
bbeb54e861614fc7b22a8844f72dca6c,20171207,,118,,2017,12,07
5ceb90c4e738427f90cd7b16d51c59bc,20171228,,118,,2017,12,28
a02783021b7c49eba12cb58cc73a4c44,20180205,,118,,2018,02,05
98df356ed5864c12a227be4fff503e42,20170920,,118,,2017,09,20
f5e30345d068492b880e6e876bc72ff5,20180406,,118,,2018,04,06
91d4029efe87429984d0152b669cea65,20180418,,118,,2018,04,18
f65ef36215b24f5096aa9454b91ffeed,20150817,,118,,2015,08,17
599ad9ceb6f94a6283da40a556bdc262,20170821,,118,,2017,08,21
888e2bf068674fd6a62589c7c6218952,20170201,,118,,2017,02,01
a384d6c6a6d844468bc2a3afe77e9d2d,20160721,,118,,2016,07,21
b94c7601b17b41609daa2e3e56c3f53d,20150811,,118,,2015,08,11
eee612e774e8463baa95a9743ab2385d,20170815,,118,,2017,08,15
02d206df55d54efda515783e1c525e8d,20170912,,118,,2017,09,12
02b148f44eee4b9ca7487371472a6781,20160516,,118,,2016,05,16
cdc70ea5dcfa497bb0c53b3fc20f3691,20170928,,118,,2017,09,28
c32496c5eddb45439d652b7032cac8cb,20170903,,118,,2017,09,03
155c4892fe1748d885cfc18f619597ed,20180114,,118,,2018,01,14
8087cbb0e8f642f793142adfeabda2fb,20171207,,118,,2017,12,07
4df1ca80efca48759fa62d668378451d,20180608,,118,,2018,06,08
850246fb2a30414eb76ac3e091c090aa,20171014,,118,,2017,10,14
462445d316a446eeaf3b21bd398cb87d,20160104,,118,,2016,01,04
a30a693afbd74047a3796bfb7d10e740,20160618,,118,,2016,06,18
55bbada9ec754b9493ba8da9f1704331,20150910,,118,,2015,09,10
5749731ed31948abb540a956963926ba,20171029,,118,,2017,10,29
901e3bdd943244ccb87af0ed7dcf0680,20150822,,118,,2015,08,22
c8503ad4841d45dc9002b4144f4028a5,20150827,,118,,2015,08,27
a2eab1f4ba0c4d339de106c93d509679,20170419,,118,,2017,04,19
