order_details_id,order_id,order_date,order_time,item_id
1,1,2023-01-01,0 days 11:38:36,109.0
2,2,2023-01-01,0 days 11:57:40,108.0
3,2,2023-01-01,0 days 11:57:40,124.0
4,2,2023-01-01,0 days 11:57:40,117.0
5,2,2023-01-01,0 days 11:57:40,129.0
6,2,2023-01-01,0 days 11:57:40,106.0
7,3,2023-01-01,0 days 12:12:28,117.0
8,3,2023-01-01,0 days 12:12:28,119.0
9,4,2023-01-01,0 days 12:16:31,117.0
10,5,2023-01-01,0 days 12:21:30,117.0
11,6,2023-01-01,0 days 12:29:36,101.0
12,6,2023-01-01,0 days 12:29:36,114.0
13,7,2023-01-01,0 days 12:50:37,123.0
14,8,2023-01-01,0 days 12:51:37,123.0
15,9,2023-01-01,0 days 12:52:01,108.0
16,9,2023-01-01,0 days 12:52:01,126.0
17,9,2023-01-01,0 days 12:52:01,110.0
18,9,2023-01-01,0 days 12:52:01,117.0
19,9,2023-01-01,0 days 12:52:01,117.0
20,9,2023-01-01,0 days 12:52:01,129.0
21,9,2023-01-01,0 days 12:52:01,122.0
22,9,2023-01-01,0 days 12:52:01,130.0
23,9,2023-01-01,0 days 12:52:01,132.0
24,10,2023-01-01,0 days 13:00:15,129.0
25,10,2023-01-01,0 days 13:00:15,105.0
26,11,2023-01-01,0 days 13:02:59,101.0
27,11,2023-01-01,0 days 13:02:59,102.0
28,11,2023-01-01,0 days 13:02:59,102.0
29,11,2023-01-01,0 days 13:02:59,113.0
30,12,2023-01-01,0 days 13:04:41,102.0
31,12,2023-01-01,0 days 13:04:41,102.0
32,12,2023-01-01,0 days 13:04:41,104.0
33,12,2023-01-01,0 days 13:04:41,117.0
34,13,2023-01-01,0 days 13:11:55,129.0
35,14,2023-01-01,0 days 13:14:19,114.0
36,15,2023-01-01,0 days 13:33:00,107.0
37,15,2023-01-01,0 days 13:33:00,124.0
38,15,2023-01-01,0 days 13:33:00,121.0
39,15,2023-01-01,0 days 13:33:00,114.0
40,16,2023-01-01,0 days 13:34:07,125.0
41,16,2023-01-01,0 days 13:34:07,111.0
